rebalance_date,roc5,roc12,roc20,roc60,roc120,mom_12_1,rsi14,dist_ma20,ma5_ma20,ma20_ma60,macd_dif_n,adx14,hv20,atr14_n,boll_width,skew20,vol_ratio5,vol_ratio10,obv_trend,vol_price_trend,amt20,high_252
2021-09-23,-1.0,-1.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
2021-10-14,-1.0,-1.0,1.0,1.0,,,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,,1.0,
2021-10-28,-1.0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,-1.0,
2021-11-11,1.0,1.0,1.0,-1.0,,,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,,-1.0,-1.0,
2021-11-25,-0.19262044543650977,-0.2765280700866836,-0.30986025673881673,-0.18427520637302644,,,-0.3105411459328759,-0.30529300570127804,-0.28718476369847246,-0.16663739159564464,-0.2981826210855528,-0.2084768641241586,-0.22280313889891784,0.10050300235929155,-0.28247956245968037,-0.07476689364712093,-0.09699012773855577,-0.0868989425221288,-0.1101790801182916,-0.05846044816951618,0.013337230006604778,
2021-12-09,-0.06476218741547532,-0.04896816636971594,0.007670878540513393,-0.00834419156611612,,,-0.02691891684541025,-0.06826757824010807,-0.03417691988180783,0.03932798620051264,0.03689532215979554,0.0763422610851295,-0.11410620620705658,0.2956329936369627,-0.1305909335242411,-0.007377416286832946,-0.06672239994113117,-0.06250980254383498,-0.05203687169769357,-0.026105129791320538,-0.26298052521394494,
2021-12-23,0.09349895458477375,-0.008339724050642714,0.027147383059377295,-0.218096685852956,-0.012228383853669384,,0.010258811099024566,0.05509878165866248,0.1668862013156594,-0.22658355765597418,-0.002301636979913164,-0.05159334946051551,-0.36807586371837986,0.2758067683226367,-0.357035056163106,0.06110806963085419,0.002309546910953392,0.01872791437448311,0.009744740313766743,-0.03745706844620986,-0.4035230380148068,0.012228383853669384
2022-01-07,-0.0077700223499232645,0.0010521856210236032,0.023575015531888677,-0.11347632737424634,0.014605676641419192,,0.013589568511659622,0.017546905057363872,0.028502231693061774,-0.04910187436511831,0.007664220345283507,-0.00605675240314499,-0.1580611209997795,0.16132140576869256,-0.17489747138779344,0.004043111820119367,0.021117712501206892,0.03196076105598308,-0.0010019569644327834,-0.0693283761462002,-0.1327516176180279,-0.014605676641419192
2022-01-21,0.06722797672806044,-0.017833217811364713,0.011665031076191141,-0.10025522471742716,0.03203243562278429,,-0.03021392913644741,0.02103949674533029,-0.049191222932471544,-0.0031589621060134957,-0.017795580894949536,-0.01160250995966697,-0.21981729722671492,0.2657878672945143,-0.18124587965706412,-0.02653870460789495,0.07190178182100265,0.022421368883459667,0.0025299095279659243,-0.009940104897057158,-0.1343813847035972,0.03203243562278429
2022-02-11,-0.29810674428544887,-0.20763346397408955,-0.17368069108478545,-0.24730492862286316,-0.025712345943010587,,-0.2629687272120775,-0.2504238586160436,-0.16158927415919996,-0.29756287711126567,-0.2748743663775676,-0.009634599853878418,0.06854199313793491,-0.04834867172001475,0.028837136095804936,0.002786820380178283,-0.09337875587860042,-0.060470177731120144,-0.16205768824533726,-0.11085675031888877,-0.0046706282543070915,-0.025712345943010587
2022-02-25,-0.0404528464508242,0.036285125000789765,0.04007685820360037,0.22534036580043953,0.14531424916004468,,0.07904452978360699,0.04712075357957739,0.11031829034919884,0.1822820853727927,0.13193753307363218,-0.030711179521076132,0.03730711833848764,0.22751855685582908,-0.021735120093867643,-0.06781961291010226,-0.05666667173900791,-0.05149943988512343,0.00861948084578352,0.026584456283983152,-0.04828052213098476,0.13097975525383038
2022-03-11,0.04693019176295698,0.06818274285948671,0.03664813816349471,0.07689496581899259,0.07221160020857213,,0.05209024280450644,0.05624723990983833,0.03282411930914516,0.005238804198951438,0.013738120298205697,-0.034742214963572444,-0.036464356807549635,0.07161508741203629,-0.09320912487638291,-0.09665530645614777,0.010212889323939447,-0.0037076338547859734,-0.007355898565139491,0.02560754963214342,-0.10796096180418031,0.035586679352916796
2022-03-25,0.08466575755114397,0.06355103676145625,0.10013446226722665,0.1842231662166228,-0.008856726063476665,,0.04654031306470965,0.10642746324465505,0.04422171984608623,0.05153104456497989,0.034205186158848676,0.06067830646691228,-0.13406333379380092,0.2805202464021077,-0.1719138706701508,-0.15247221688611395,0.03462715908246451,0.010415934212509496,0.0805868969783246,-0.055222474371064235,-0.15087790452437158,0.19019086173262387
2022-04-12,0.11234025912428895,0.117525580014277,0.04485120455676688,-0.037175160546053444,-0.08199961675192162,,0.027187796351517936,0.11108748810670929,0.07057128227152079,-0.09791439849022797,-0.001962358282401207,0.1023463721742341,-0.1775657604586883,-0.07516458887627785,-0.18909708323215557,-0.08347023807485598,0.1211456051505172,0.10537106033246013,0.01603422040802219,-0.04856588216591206,-0.09537805774870557,0.08608570071661961
2022-04-26,-0.2742306872095285,-0.3063212546968232,-0.3714566917175447,-0.26630060559842816,-0.2118116275468113,,-0.23613697692011396,-0.31495852972190935,-0.3159014892906679,-0.261209187379141,-0.3720368078291326,0.15956621179920255,0.10012930618079781,-0.013266385676880118,0.33460204209661804,-0.0068495561336562585,0.014443590019850296,0.004758414268258455,-0.14254118309555838,-0.03411492564610534,0.01828659159531888,-0.33739315672191006
2022-05-13,-0.0366032733208461,-0.1445626640201218,-0.1729044787238743,-0.1701065779773174,-0.10893838848572868,,-0.18737811626076162,-0.16507310304832157,-0.188565985016387,-0.128835502380568,-0.19061932594947625,0.09848949051151233,-0.08025334595972594,0.24872572675772447,0.01991841780990852,-0.10358633352798674,-0.0014615229096694253,-0.046252457400333756,0.05055588140336694,-0.022269550678425155,-0.07764101139063073,-0.1603066628494954
2022-05-27,-0.12390811943888665,-0.0037186529322664327,0.1849290328426921,-0.2178793510487069,-0.2709957951914478,,-0.018525613681832052,0.021040264807821618,0.11017262706699864,-0.08178873930808665,0.027237279427239608,0.09352954403957649,-0.009356017353300378,-0.1544412477277322,0.033468670017478726,0.06819531840561278,-0.10296436219997394,-0.04821920957479366,-0.08845562524811007,-0.06216473879212652,0.1036236374565931,-0.2514709435913725
2022-06-13,-0.1298585176363286,-0.03390470274269705,-0.002425509713602608,-0.10568097683895944,-0.2994210893765618,,-0.025134347228383366,-0.009485972116460767,-0.013284138670869198,-0.04194161139929698,-0.008429444198260303,0.021856747486844286,0.02547290582856746,-0.08810481297689556,-0.005785713305760823,0.013546699921054227,-0.026077663620569125,-0.027614924493865843,-0.0718862393419521,0.01089586121830514,0.0005357607584831898,-0.2124786230791023
2022-06-27,-0.09724452220415669,-0.14016475746634993,-0.1636394496672297,-0.0937431180887613,0.051970384907866665,0.02459521291486447,-0.1093060520578161,-0.1328692482834174,-0.11780470973482995,-0.11708388381366498,-0.15938554741089506,-0.1548614476028327,-0.20607666920664583,0.09836685215337468,-0.1830172194094024,-0.03249430740907473,-0.02356980289607139,-0.03136320511219604,-0.013185361878607036,-0.05362743741981429,-0.14031349679069874,0.0288764248420811
